단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
recognize,생각하기,레벨2,미수록|로부장수기,11,우주와 과학,ch11,O,추상(스토리 몫)
remind,생각하기,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
solve,생각하기,레벨1,A1,11,우주와 과학,ch11,O,추상(스토리 몫)
strategy,생각하기,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
suppose,생각하기,레벨2,B1,11,우주와 과학,ch11,O,추상(스토리 몫)
tend,생각하기,레벨2,B1,11,우주와 과학,ch11,O,추상(스토리 몫)
basis,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
brief,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
characteristic,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
common,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
conscious,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
each,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
else,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
especial,정도와 범위말,레벨2,미수록|로부장수기,11,우주와 과학,ch8,X,추상(스토리 몫)
ever,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
final,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
instance,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
interest,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
item,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
manner,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
maybe,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
mean,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
nowhere,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
