단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
lead,돕고 섬기기,레벨1,A2,6,음식과 건강,ch10,X,장면에 넣을 수 있음
recover,돕고 섬기기,레벨2,B1,6,음식과 건강,ch10,X,장면에 넣을 수 있음
serve,돕고 섬기기,레벨1,A2,6,음식과 건강,ch10,X,장면에 넣을 수 있음
bitter,먹을 것,레벨2,B1,6,음식과 건강,ch7,X,장면에 넣을 수 있음
nut,먹을 것,레벨2,B2,6,음식과 건강,ch7,X,장면에 넣을 수 있음
cigarette,부엌과 조리,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
menu,부엌과 조리,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
recipe,부엌과 조리,레벨2,B2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
accident,사고와 위험,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
avoid,사고와 위험,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
crisis,사고와 위험,레벨2,B1,6,음식과 건강,ch6,O,장면에 넣을 수 있음
prevent,사고와 위험,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
knock,손으로 하는 것,레벨1,A2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
pitch,손으로 하는 것,레벨2,B2,6,음식과 건강,ch6,O,장면에 넣을 수 있음
scratch,손으로 하는 것,레벨2,B1,6,음식과 건강,ch6,O,장면에 넣을 수 있음
throw,손으로 하는 것,레벨1,A1,6,음식과 건강,ch6,O,장면에 넣을 수 있음
entertain,기쁨과 슬픔,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
excite,기쁨과 슬픔,레벨1,미수록|로부장수기,7,몸과 감정,ch7,O,장면에 넣을 수 있음
honor,기쁨과 슬픔,레벨2,미수록|로부장수기,7,몸과 감정,ch7,O,장면에 넣을 수 있음
humor,기쁨과 슬픔,레벨2,미수록|로부장수기,7,몸과 감정,ch7,O,장면에 넣을 수 있음
pride,기쁨과 슬픔,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
satisfy,기쁨과 슬픔,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
drug,몸과 마음의 상태,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
emotion,몸과 마음의 상태,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
exhaust,몸과 마음의 상태,레벨2,B2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
exist,몸과 마음의 상태,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
faint,몸과 마음의 상태,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
hurt,몸과 마음의 상태,레벨1,A1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
injure,몸과 마음의 상태,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
mental,몸과 마음의 상태,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
mood,몸과 마음의 상태,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
self,몸과 마음의 상태,레벨1,A1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
suffer,몸과 마음의 상태,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
wound,몸과 마음의 상태,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
blame,부끄러움과 미움,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
embarrass,부끄러움과 미움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
ignore,부끄러움과 미움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
shame,부끄러움과 미움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
silly,부끄러움과 미움,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
character,사람 성격,레벨1,A1,7,몸과 감정,ch10,X,장면에 넣을 수 있음
cute,사람 성격,레벨1,A1,7,몸과 감정,ch10,X,장면에 넣을 수 있음
handsome,사람 성격,레벨1,A1,7,몸과 감정,ch10,X,장면에 넣을 수 있음
sex,사람 성격,레벨2,B1,7,몸과 감정,ch10,X,장면에 넣을 수 있음
smart,사람 성격,레벨1,A1,7,몸과 감정,ch10,X,장면에 넣을 수 있음
teenage,사람 성격,레벨1,A2,7,몸과 감정,ch10,X,장면에 넣을 수 있음
wise,사람 성격,레벨1,A2,7,몸과 감정,ch10,X,장면에 넣을 수 있음
contact,사람과 관계,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
council,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
darling,사람과 관계,레벨2,B2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
depend,사람과 관계,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
divorce,사람과 관계,레벨2,B2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
engage,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
fellow,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
folk,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
individual,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
male,사람과 관계,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
mate,사람과 관계,레벨2,B2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
relate,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
respect,사람과 관계,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
senior,사람과 관계,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
bother,화와 두려움,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
cruel,화와 두려움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
disturb,화와 두려움,레벨1,A2,7,몸과 감정,ch7,O,장면에 넣을 수 있음
fright,화와 두려움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
scare,화와 두려움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
stress,화와 두려움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
tense,화와 두려움,레벨2,B1,7,몸과 감정,ch7,O,장면에 넣을 수 있음
motion,몸 전체로 하는 것,레벨2,B2,8,운동과 도전,ch2,X,장면에 넣을 수 있음
raise,몸 전체로 하는 것,레벨1,A2,8,운동과 도전,ch2,X,장면에 넣을 수 있음
shoot,몸 전체로 하는 것,레벨1,A2,8,운동과 도전,ch2,X,장면에 넣을 수 있음
beg,묻고 부탁하기,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
excuse,묻고 부탁하기,레벨1,A1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
greet,묻고 부탁하기,레벨1,A1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
hint,묻고 부탁하기,레벨2,B2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
promise,묻고 부탁하기,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
request,묻고 부탁하기,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
require,묻고 부탁하기,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
capable,쉽고 어려움,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
complex,쉽고 어려움,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
ease,쉽고 어려움,레벨2,B2,8,운동과 도전,ch8,O,추상(스토리 몫)
practical,쉽고 어려움,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
tough,쉽고 어려움,레벨2,B2,8,운동과 도전,ch8,O,추상(스토리 몫)
bomb,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
enemy,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
evil,싸움과 지킴,레벨2,B2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
force,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
gun,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
harm,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
oppose,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
protest,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
punish,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
resist,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
rob,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
spy,싸움과 지킴,레벨1,A1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
struggle,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
survive,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
suspect,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
thief,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
threat,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
victim,싸움과 지킴,레벨2,B1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
violent,싸움과 지킴,레벨1,A2,8,운동과 도전,ch8,O,장면에 넣을 수 있음
contest,운동과 겨루기,레벨1,A1,8,운동과 도전,ch8,O,장면에 넣을 수 있음
cause,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
effect,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
expect,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
factor,일의 결과,레벨2,B2,8,운동과 도전,ch8,O,추상(스토리 몫)
function,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
happen,일의 결과,레벨1,A1,8,운동과 도전,ch8,O,추상(스토리 몫)
influence,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
intend,일의 결과,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
intent,일의 결과,레벨2,B2,8,운동과 도전,ch8,O,추상(스토리 몫)
mission,일의 결과,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
obvious,일의 결과,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
occur,일의 결과,레벨2,B1,8,운동과 도전,ch8,O,추상(스토리 몫)
purpose,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
result,일의 결과,레벨1,A1,8,운동과 도전,ch8,O,추상(스토리 몫)
role,일의 결과,레벨1,A1,8,운동과 도전,ch8,O,추상(스토리 몫)
succeed,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
success,일의 결과,레벨1,A2,8,운동과 도전,ch8,O,추상(스토리 몫)
identity,찾고 얻기,레벨2,B1,8,운동과 도전,ch2,X,장면에 넣을 수 있음
locate,찾고 얻기,레벨2,B1,8,운동과 도전,ch2,X,장면에 넣을 수 있음
resource,찾고 얻기,레벨2,B1,8,운동과 도전,ch2,X,장면에 넣을 수 있음
cast,성과 왕궁,레벨2,B2,9,여행과 세계,ch9,O,장면에 넣을 수 있음
crown,성과 왕궁,레벨1,A2,9,여행과 세계,ch9,O,장면에 넣을 수 있음
circumstance,세상 물정,레벨2,B2,9,여행과 세계,ch1,X,추상(스토리 몫)
domestic,세상 물정,레벨2,B2,9,여행과 세계,ch1,X,추상(스토리 몫)
fashion,세상 물정,레벨1,A2,9,여행과 세계,ch1,X,추상(스토리 몫)
foreign,세상 물정,레벨1,A1,9,여행과 세계,ch1,X,추상(스토리 몫)
ordinary,세상 물정,레벨2,B1,9,여행과 세계,ch1,X,추상(스토리 몫)
popular,세상 물정,레벨1,A2,9,여행과 세계,ch1,X,추상(스토리 몫)
situate,세상 물정,레벨2,미수록|로부장수기,9,여행과 세계,ch1,X,추상(스토리 몫)
social,세상 물정,레벨1,A1,9,여행과 세계,ch1,X,추상(스토리 몫)
state,세상 물정,레벨1,A2,9,여행과 세계,ch1,X,추상(스토리 몫)
system,세상 물정,레벨1,A2,9,여행과 세계,ch1,X,추상(스토리 몫)
version,세상 물정,레벨2,B2,9,여행과 세계,ch1,X,추상(스토리 몫)
vision,세상 물정,레벨2,B1,9,여행과 세계,ch1,X,추상(스토리 몫)
beyond,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
forward,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
local,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
since,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
through,자리와 방향,레벨1,A1,9,여행과 세계,ch1,X,장면에 넣을 수 있음
until,자리와 방향,레벨1,A1,9,여행과 세계,ch1,X,장면에 넣을 수 있음
whether,자리와 방향,레벨2,B1,9,여행과 세계,ch1,X,장면에 넣을 수 있음
while,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
without,자리와 방향,레벨1,A2,9,여행과 세계,ch1,X,장면에 넣을 수 있음
