단어,갈래,레벨,CEFR근거
tool,기계와 도구,레벨1,A1
agent,일과 직업,레벨1,A2
boss,일과 직업,레벨1,A2
captain,일과 직업,레벨1,A2
career,일과 직업,레벨2,B1
chairman,일과 직업,레벨1,A2
chief,일과 직업,레벨2,B1
clerk,일과 직업,레벨1,A2
client,일과 직업,레벨2,B2
coach,일과 직업,레벨1,A1
dentist,일과 직업,레벨1,A2
employ,일과 직업,레벨2,B2
engineer,일과 직업,레벨1,A1
expert,일과 직업,레벨1,A2
factory,일과 직업,레벨1,A1
firm,일과 직업,레벨2,B1
guard,일과 직업,레벨1,A2
guest,일과 직업,레벨1,A1
hire,일과 직업,레벨2,B1
industry,일과 직업,레벨2,B1
lab,일과 직업,레벨2,B1
labor,일과 직업,레벨2,미수록|로부장수기
laboratory,일과 직업,레벨2,B1
lawyer,일과 직업,레벨1,A2
manufacture,일과 직업,레벨2,B2
master,일과 직업,레벨2,B2
military,일과 직업,레벨1,A2
mill,일과 직업,레벨2,B2
officer,일과 직업,레벨1,A1
poet,일과 직업,레벨2,B1
profession,일과 직업,레벨2,B1
promote,일과 직업,레벨2,B1
secretary,일과 직업,레벨1,A2
soldier,일과 직업,레벨1,A2
volunteer,일과 직업,레벨2,B1
associate,사람과 관계,레벨2,B1
attract,사람과 관계,레벨2,B1
audience,사람과 관계,레벨1,A2
bond,사람과 관계,레벨2,B1
citizen,사람과 관계,레벨1,A2
committee,사람과 관계,레벨1,A2
community,사람과 관계,레벨2,B2
contact,사람과 관계,레벨1,A2
council,사람과 관계,레벨2,B1
crowd,사람과 관계,레벨1,A2
darling,사람과 관계,레벨2,B2
depend,사람과 관계,레벨1,A2
divorce,사람과 관계,레벨2,B2
engage,사람과 관계,레벨2,B1
fellow,사람과 관계,레벨2,B1
female,사람과 관계,레벨1,A2
folk,사람과 관계,레벨2,B1
individual,사람과 관계,레벨2,B1
involve,사람과 관계,레벨2,B1
junior,사람과 관계,레벨1,A2
male,사람과 관계,레벨1,A2
mate,사람과 관계,레벨2,B2
native,사람과 관계,레벨1,A2
neighbor,사람과 관계,레벨1,미수록|로부장수기
person,사람과 관계,레벨1,A1
relate,사람과 관계,레벨2,B1
respect,사람과 관계,레벨2,B1
senior,사람과 관계,레벨1,A2
slave,사람과 관계,레벨1,A2
society,사람과 관계,레벨1,A2
twin,사람과 관계,레벨2,B1
army,싸움과 지킴,레벨2,B1
arrest,싸움과 지킴,레벨2,B1
attack,싸움과 지킴,레벨1,A2
battle,싸움과 지킴,레벨2,B1
beat,싸움과 지킴,레벨2,B1
bomb,싸움과 지킴,레벨2,B1
conflict,싸움과 지킴,레벨2,B1
crime,싸움과 지킴,레벨1,A2
defense,싸움과 지킴,레벨2,미수록|로부장수기
enemy,싸움과 지킴,레벨2,B1
escape,싸움과 지킴,레벨1,A2
evil,싸움과 지킴,레벨2,B2
force,싸움과 지킴,레벨1,A2
gun,싸움과 지킴,레벨1,A2
harm,싸움과 지킴,레벨1,A2
oppose,싸움과 지킴,레벨1,A2
protect,싸움과 지킴,레벨2,B1
protest,싸움과 지킴,레벨2,B1
punish,싸움과 지킴,레벨2,B1
resist,싸움과 지킴,레벨2,B1
rob,싸움과 지킴,레벨1,A2
shelter,싸움과 지킴,레벨2,B1
spy,싸움과 지킴,레벨1,A1
steal,싸움과 지킴,레벨1,A2
strike,싸움과 지킴,레벨1,A2
struggle,싸움과 지킴,레벨2,B1
survive,싸움과 지킴,레벨1,A2
suspect,싸움과 지킴,레벨2,B1
thief,싸움과 지킴,레벨1,A2
threat,싸움과 지킴,레벨2,B1
victim,싸움과 지킴,레벨2,B1
violent,싸움과 지킴,레벨1,A2
weapon,싸움과 지킴,레벨2,B1
accuse,규칙과 사회,레벨2,B1
civil,규칙과 사회,레벨2,B1
cop,규칙과 사회,레벨1,A1
discipline,규칙과 사회,레벨2,B2
duty,규칙과 사회,레벨2,B1
elect,규칙과 사회,레벨2,B2
empire,규칙과 사회,레벨2,B1
govern,규칙과 사회,레벨2,B1
