단어,갈래,레벨,CEFR근거
health,몸과 마음의 상태,레벨1,A1
hurt,몸과 마음의 상태,레벨1,A1
ill,몸과 마음의 상태,레벨1,A2
injure,몸과 마음의 상태,레벨1,A2
medical,몸과 마음의 상태,레벨1,A2
medicine,몸과 마음의 상태,레벨1,A1
mental,몸과 마음의 상태,레벨2,B1
mood,몸과 마음의 상태,레벨1,A2
pain,몸과 마음의 상태,레벨2,B1
patient,몸과 마음의 상태,레벨1,A2
physical,몸과 마음의 상태,레벨1,A2
poison,몸과 마음의 상태,레벨2,B1
pregnant,몸과 마음의 상태,레벨2,B1
presence,몸과 마음의 상태,레벨2,B1
rest,몸과 마음의 상태,레벨2,B1
self,몸과 마음의 상태,레벨1,A1
sense,몸과 마음의 상태,레벨1,A2
soul,몸과 마음의 상태,레벨2,B1
spirit,몸과 마음의 상태,레벨2,B1
suffer,몸과 마음의 상태,레벨2,B1
weak,몸과 마음의 상태,레벨1,A2
wound,몸과 마음의 상태,레벨2,B1
achieve,일의 결과,레벨1,A2
affect,일의 결과,레벨2,B1
cause,일의 결과,레벨1,A2
effect,일의 결과,레벨1,A2
expect,일의 결과,레벨1,A2
factor,일의 결과,레벨2,B2
function,일의 결과,레벨1,A2
happen,일의 결과,레벨1,A1
influence,일의 결과,레벨1,A2
intend,일의 결과,레벨2,B1
intent,일의 결과,레벨2,B2
matter,일의 결과,레벨1,A1
mission,일의 결과,레벨2,B1
obvious,일의 결과,레벨2,B1
occur,일의 결과,레벨2,B1
potential,일의 결과,레벨2,B1
purpose,일의 결과,레벨1,A2
result,일의 결과,레벨1,A1
role,일의 결과,레벨1,A1
succeed,일의 결과,레벨1,A2
success,일의 결과,레벨1,A2
demonstrate,드러남과 감춤,레벨2,B1
detail,드러남과 감춤,레벨1,A2
display,드러남과 감춤,레벨1,A2
expose,드러남과 감춤,레벨2,B1
feature,드러남과 감춤,레벨1,A2
hide,드러남과 감춤,레벨1,A1
illustrate,드러남과 감춤,레벨2,B2
indicate,드러남과 감춤,레벨1,A2
mark,드러남과 감춤,레벨1,A2
secret,드러남과 감춤,레벨1,A2
seem,드러남과 감춤,레벨1,A2
sign,드러남과 감춤,레벨1,A1
bunch,모임과 흩어짐,레벨2,B1
gather,모임과 흩어짐,레벨1,A2
release,모임과 흩어짐,레벨1,A2
unite,모임과 흩어짐,레벨2,B1
background,세상 물정,레벨1,A2
circumstance,세상 물정,레벨2,B2
domestic,세상 물정,레벨2,B2
fashion,세상 물정,레벨1,A2
foreign,세상 물정,레벨1,A1
modern,세상 물정,레벨1,A2
ordinary,세상 물정,레벨2,B1
popular,세상 물정,레벨1,A2
situate,세상 물정,레벨2,미수록|로부장수기
social,세상 물정,레벨1,A1
stage,세상 물정,레벨1,A1
state,세상 물정,레벨1,A2
structure,세상 물정,레벨1,A2
system,세상 물정,레벨1,A2
tradition,세상 물정,레벨1,A2
version,세상 물정,레벨2,B2
view,세상 물정,레벨1,A2
vision,세상 물정,레벨2,B1
band,소리와 음악,레벨1,A1
bang,소리와 음악,레벨2,B1
boom,소리와 음악,레벨2,B1
concert,소리와 음악,레벨1,A1
loud,소리와 음악,레벨2,B1
noise,소리와 음악,레벨1,A1
pop,소리와 음악,레벨1,A1
tone,소리와 음악,레벨1,A2
tune,소리와 음악,레벨1,A2
whistle,소리와 음악,레벨2,B1
champion,운동과 겨루기,레벨2,B1
contest,운동과 겨루기,레벨1,A1
golf,운동과 겨루기,레벨1,A2
league,운동과 겨루기,레벨2,B1
purple,색과 빛,레벨1,A1
cast,성과 왕궁,레벨2,B2
castle,성과 왕궁,레벨1,A2
crown,성과 왕궁,레벨1,A2
flag,성과 왕궁,레벨1,A1
royal,성과 왕궁,레벨1,A2
character,사람 성격,레벨1,A1
charm,사람 성격,레벨2,B1
cute,사람 성격,레벨1,A1
gentle,사람 성격,레벨1,A2
handsome,사람 성격,레벨1,A1
polite,사람 성격,레벨1,A2
serious,사람 성격,레벨2,B1
sex,사람 성격,레벨2,B1
smart,사람 성격,레벨1,A1
teenage,사람 성격,레벨1,A2
wise,사람 성격,레벨1,A2
accident,사고와 위험,레벨1,A2
alarm,사고와 위험,레벨1,A2
ambulance,사고와 위험,레벨2,B1
avoid,사고와 위험,레벨1,A2
crisis,사고와 위험,레벨2,B1
prevent,사고와 위험,레벨1,A2
secure,사고와 위험,레벨2,B1
warn,사고와 위험,레벨2,B1
accent,알리고 밝히기,레벨2,B1
admit,알리고 밝히기,레벨1,A2
announce,알리고 밝히기,레벨2,B1
comment,알리고 밝히기,레벨2,B1
describe,알리고 밝히기,레벨1,A1
emphasize,알리고 밝히기,레벨2,미수록|로부장수기
explain,알리고 밝히기,레벨1,A2
express,알리고 밝히기,레벨1,A2
frankly,알리고 밝히기,레벨2,B2
inform,알리고 밝히기,레벨2,B1
mention,알리고 밝히기,레벨1,A2
pronounce,알리고 밝히기,레벨1,A2
quote,알리고 밝히기,레벨2,B2
refer,알리고 밝히기,레벨1,A2
remark,알리고 밝히기,레벨2,B1
report,알리고 밝히기,레벨1,A2
represent,알리고 밝히기,레벨1,A2
argue,따지고 다투기,레벨1,A2
claim,따지고 다투기,레벨1,A2
complain,따지고 다투기,레벨1,A2
convince,따지고 다투기,레벨2,B1
debate,따지고 다투기,레벨1,A2
deny,따지고 다투기,레벨2,B1
insist,따지고 다투기,레벨2,B1
advice,묻고 부탁하기,레벨1,A2
advise,묻고 부탁하기,레벨1,A2
beg,묻고 부탁하기,레벨1,A2
excuse,묻고 부탁하기,레벨1,A1
greet,묻고 부탁하기,레벨1,A1
hint,묻고 부탁하기,레벨2,B2
pardon,묻고 부탁하기,레벨1,A1
promise,묻고 부탁하기,레벨1,A2
propose,묻고 부탁하기,레벨2,B1
recommend,묻고 부탁하기,레벨2,B1
request,묻고 부탁하기,레벨1,A2
require,묻고 부탁하기,레벨2,B1
suggest,묻고 부탁하기,레벨1,A2
aloud,소리내어 말하기,레벨2,B1
chat,소리내어 말하기,레벨1,A2
command,소리내어 말하기,레벨2,B1
communicate,소리내어 말하기,레벨1,A2
converse,소리내어 말하기,레벨2,B2
instruct,소리내어 말하기,레벨2,B2
interrupt,소리내어 말하기,레벨2,B1
joke,소리내어 말하기,레벨1,A2
message,소리내어 말하기,레벨1,A1
paragraph,소리내어 말하기,레벨1,A1
pray,소리내어 말하기,레벨1,A1
pretend,소리내어 말하기,레벨1,A2
reply,소리내어 말하기,레벨1,A2
respond,소리내어 말하기,레벨2,B1
scream,소리내어 말하기,레벨1,A2
sentence,소리내어 말하기,레벨1,A1
shout,소리내어 말하기,레벨1,A2
speech,소리내어 말하기,레벨1,A1
tale,소리내어 말하기,레벨2,B1
tip,소리내어 말하기,레벨1,A2
whisper,소리내어 말하기,레벨2,B1
yell,소리내어 말하기,레벨2,B1
altogether,이음말,레벨2,B1
despite,이음말,레벨2,B1
either,이음말,레벨1,A1
even,이음말,레벨1,A2
except,이음말,레벨1,A2
instead,이음말,레벨1,A2
let,이음말,레벨1,A1
moreover,이음말,레벨2,B1
neither,이음말,레벨2,B2
nor,이음말,레벨2,B1
otherwise,이음말,레벨2,B1
ought,이음말,레벨2,미수록|로부장수기
rather,이음말,레벨1,A2
shall,이음말,레벨1,A2
then,이음말,레벨1,A1
therefore,이음말,레벨1,A2
though,이음말,레벨1,A2
thus,이음말,레벨2,B1
which,이음말,레벨1,A1
whole,이음말,레벨1,A2
would,이음말,레벨1,A1
access,정도와 범위말,레벨2,B1
account,정도와 범위말,레벨1,A2
affair,정도와 범위말,레벨1,A2
appeal,정도와 범위말,레벨2,B1
basis,정도와 범위말,레벨2,B1
brief,정도와 범위말,레벨2,B1
characteristic,정도와 범위말,레벨2,B1
common,정도와 범위말,레벨1,A2
conscious,정도와 범위말,레벨2,B1
content,정도와 범위말,레벨2,B1
each,정도와 범위말,레벨1,A1
else,정도와 범위말,레벨1,A1
especial,정도와 범위말,레벨2,미수록|로부장수기
ever,정도와 범위말,레벨1,A2
exact,정도와 범위말,레벨2,B1
final,정도와 범위말,레벨1,A2
general,정도와 범위말,레벨2,B1
indeed,정도와 범위말,레벨1,A2
instance,정도와 범위말,레벨2,B1
interest,정도와 범위말,레벨1,A2
item,정도와 범위말,레벨1,A1
main,정도와 범위말,레벨2,B1
manner,정도와 범위말,레벨1,A2
maybe,정도와 범위말,레벨1,A1
mean,정도와 범위말,레벨1,A1
nowhere,정도와 범위말,레벨2,B1
other,정도와 범위말,레벨1,A1
overall,정도와 범위말,레벨2,B2
particular,정도와 범위말,레벨2,B2
perhaps,정도와 범위말,레벨1,A2
plus,정도와 범위말,레벨1,A2
possible,정도와 범위말,레벨1,A2
probable,정도와 범위말,레벨2,B2
section,정도와 범위말,레벨1,A1
session,정도와 범위말,레벨2,B1
somewhat,정도와 범위말,레벨2,B2
such,정도와 범위말,레벨1,A2
various,정도와 범위말,레벨2,B1
grab,손으로 하는 것,레벨2,B1
knock,손으로 하는 것,레벨1,A2
lift,손으로 하는 것,레벨2,B1
load,손으로 하는 것,레벨1,A2
pack,손으로 하는 것,레벨1,A2
pitch,손으로 하는 것,레벨2,B2
press,손으로 하는 것,레벨2,B1
pull,손으로 하는 것,레벨1,A2
punch,손으로 하는 것,레벨2,B2
rub,손으로 하는 것,레벨2,B2
scratch,손으로 하는 것,레벨2,B1
stir,손으로 하는 것,레벨2,B1
sweep,손으로 하는 것,레벨2,B2
throw,손으로 하는 것,레벨1,A1
tie,손으로 하는 것,레벨1,A2
twist,손으로 하는 것,레벨2,B1
wipe,손으로 하는 것,레벨2,B2
wrap,손으로 하는 것,레벨2,B1
bite,몸 전체로 하는 것,레벨1,A2
bounce,몸 전체로 하는 것,레벨2,B1
bow,몸 전체로 하는 것,레벨2,B1
bump,몸 전체로 하는 것,레벨2,B1
chase,몸 전체로 하는 것,레벨2,B1
crawl,몸 전체로 하는 것,레벨2,B2
dig,몸 전체로 하는 것,레벨1,A1
drag,몸 전체로 하는 것,레벨2,B1
gesture,몸 전체로 하는 것,레벨2,B1
hug,몸 전체로 하는 것,레벨1,A2
lay,몸 전체로 하는 것,레벨2,B1
lean,몸 전체로 하는 것,레벨2,B1
leap,몸 전체로 하는 것,레벨2,B1
motion,몸 전체로 하는 것,레벨2,B2
raise,몸 전체로 하는 것,레벨1,A2
roll,몸 전체로 하는 것,레벨1,A2
rush,몸 전체로 하는 것,레벨1,A2
shake,몸 전체로 하는 것,레벨1,A1
shoot,몸 전체로 하는 것,레벨1,A2
slide,몸 전체로 하는 것,레벨1,A2
slip,몸 전체로 하는 것,레벨2,B1
spin,몸 전체로 하는 것,레벨2,B2
step,몸 전체로 하는 것,레벨1,A1
stretch,몸 전체로 하는 것,레벨2,B1
swing,몸 전체로 하는 것,레벨2,B2
bury,닫고 파묻기,레벨1,A2
shut,닫고 파묻기,레벨1,A2
spread,닫고 파묻기,레벨1,A2
trap,닫고 파묻기,레벨1,A2
bacon,먹을 것,레벨2,B1
bean,먹을 것,레벨1,A1
bitter,먹을 것,레벨2,B1
chip,먹을 것,레벨2,B2
crisp,먹을 것,레벨1,A2
diet,먹을 것,레벨1,A2
honey,먹을 것,레벨1,A2
hunger,먹을 것,레벨2,B1
lemon,먹을 것,레벨1,A2
meal,먹을 것,레벨1,A1
melon,먹을 것,레벨1,A2
mushroom,먹을 것,레벨1,A2
nut,먹을 것,레벨2,B2
pear,먹을 것,레벨1,A2
pepper,먹을 것,레벨1,A2
pie,먹을 것,레벨2,B1
pork,먹을 것,레벨2,B1
powder,먹을 것,레벨2,B1
rice,먹을 것,레벨1,A1
snack,먹을 것,레벨1,A2
sour,먹을 것,레벨2,B1
strawberry,먹을 것,레벨2,B1
supper,먹을 것,레벨1,A2
sweet,먹을 것,레벨1,A1
toast,먹을 것,레벨1,A2
alcohol,부엌과 조리,레벨2,B1
beer,부엌과 조리,레벨1,A2
boil,부엌과 조리,레벨1,A2
bowl,부엌과 조리,레벨1,A1
chop,부엌과 조리,레벨2,B2
cigarette,부엌과 조리,레벨1,A2
consume,부엌과 조리,레벨2,B1
dish,부엌과 조리,레벨1,A1
fry,부엌과 조리,레벨1,A2
grocery,부엌과 조리,레벨1,미수록|로부장수기
menu,부엌과 조리,레벨1,A2
mix,부엌과 조리,레벨1,A2
pan,부엌과 조리,레벨1,A2
plate,부엌과 조리,레벨1,A2
pot,부엌과 조리,레벨2,B1
pour,부엌과 조리,레벨1,A2
recipe,부엌과 조리,레벨2,B2
sauce,부엌과 조리,레벨1,A2
tea,부엌과 조리,레벨1,A1
afford,돈,레벨2,B1
budget,돈,레벨1,A2
charge,돈,레벨2,B1
coin,돈,레벨1,A2
credit,돈,레벨1,A2
debt,돈,레벨2,B1
earn,돈,레벨1,A2
economy,돈,레벨2,B1
estimate,돈,레벨2,B1
expense,돈,레벨2,B1
fee,돈,레벨1,A2
finance,돈,레벨2,B1
fund,돈,레벨2,B1
income,돈,레벨2,B1
insure,돈,레벨2,B1
loan,돈,레벨2,B2
loss,돈,레벨2,B1
price,돈,레벨1,A1
profit,돈,레벨2,B2
salary,돈,레벨2,B2
spend,돈,레벨1,A1
tax,돈,레벨2,B1
value,돈,레벨1,A2
wage,돈,레벨2,B2
worth,돈,레벨2,B1
advertise,사고팔기,레벨2,B1
award,사고팔기,레벨1,A2
bet,사고팔기,레벨2,B1
brand,사고팔기,레벨1,A2
commerce,사고팔기,레벨2,B2
contract,사고팔기,레벨2,B2
demand,사고팔기,레벨2,B1
grant,사고팔기,레벨2,B1
guarantee,사고팔기,레벨2,B1
invest,사고팔기,레벨2,B1
prize,사고팔기,레벨2,B1
property,사고팔기,레벨2,B1
purchase,사고팔기,레벨2,B2
rent,사고팔기,레벨1,A2
sponsor,사고팔기,레벨2,B1
stock,사고팔기,레벨2,B2
supply,사고팔기,레벨2,B1
trade,사고팔기,레벨1,A2
waste,사고팔기,레벨2,B1
brick,집의 구조,레벨2,B1
ceiling,집의 구조,레벨2,B2
cottage,집의 구조,레벨2,B2
fence,집의 구조,레벨1,A2
frame,집의 구조,레벨1,A2
garage,집의 구조,레벨1,A2
livingroom,집의 구조,레벨1,미수록|로부장수기
roof,집의 구조,레벨1,A2
shelf,집의 구조,레벨1,A1
shower,집의 구조,레벨1,A1
stairs,집의 구조,레벨1,미수록|로부장수기
toilet,집의 구조,레벨1,A1
villa,집의 구조,레벨2,B2
bar,살림 도구,레벨1,A1
bench,살림 도구,레벨1,A2
bin,살림 도구,레벨2,B1
blanket,살림 도구,레벨1,A2
boot,살림 도구,레벨2,B1
cable,살림 도구,레벨2,B2
carpet,살림 도구,레벨2,B1
chain,살림 도구,레벨1,A2
clip,살림 도구,레벨2,B1
dump,살림 도구,레벨2,B1
furniture,살림 도구,레벨1,A2
iron,살림 도구,레벨2,B1
lamp,살림 도구,레벨1,A2
lid,살림 도구,레벨2,B2
lock,살림 도구,레벨1,A2
mess,살림 도구,레벨2,B1
microwave,살림 도구,레벨2,B2
mirror,살림 도구,레벨1,A2
oven,살림 도구,레벨1,A2
pin,살림 도구,레벨2,B1
pipe,살림 도구,레벨2,B1
rope,살림 도구,레벨1,A2
sheet,살림 도구,레벨2,B1
string,살림 도구,레벨1,A2
tank,살림 도구,레벨2,B1
tap,살림 도구,레벨1,A2
towel,살림 도구,레벨1,A1
tray,살림 도구,레벨2,B2
wire,살림 도구,레벨2,B1
capital,도시의 건물,레벨1,A2
cinema,도시의 건물,레벨1,A1
hall,도시의 건물,레벨1,A1
hotel,도시의 건물,레벨1,A1
museum,도시의 건물,레벨1,A2
opera,도시의 건물,레벨1,A1
palace,도시의 건물,레벨1,A1
post,도시의 건물,레벨1,A1
prison,도시의 건물,레벨2,B1
pub,도시의 건물,레벨2,B1
station,도시의 건물,레벨1,A1
studio,도시의 건물,레벨2,B1
theater,도시의 건물,레벨1,미수록|로부장수기
university,도시의 건물,레벨1,A2
village,도시의 건물,레벨1,A2
airline,타고 가기,레벨2,B1
airport,타고 가기,레벨1,A1
brake,타고 가기,레벨1,A2
cart,타고 가기,레벨1,미수록|로부장수기
cycle,타고 가기,레벨2,B1
engine,타고 가기,레벨2,B1
exit,타고 가기,레벨2,B1
flight,타고 가기,레벨1,A2
gate,타고 가기,레벨1,A2
gear,타고 가기,레벨2,B2
guide,타고 가기,레벨2,B1
helicopter,타고 가기,레벨2,B2
journey,타고 가기,레벨1,A2
motor,타고 가기,레벨2,B1
parade,타고 가기,레벨2,B2
picnic,타고 가기,레벨1,A1
plane,타고 가기,레벨1,A1
rail,타고 가기,레벨2,B1
ride,타고 가기,레벨1,A1
rocket,타고 가기,레벨2,B2
seat,타고 가기,레벨1,A1
tour,타고 가기,레벨1,A2
traffic,타고 가기,레벨1,A2
transport,타고 가기,레벨2,B1
van,타고 가기,레벨2,B1
vehicle,타고 가기,레벨2,B1
wheel,타고 가기,레벨1,A1
kettle,부엌과 조리,레벨1,수기|로부장 (cigarette 대체 2026-08-01 대표님 지시)
confident,사람 성격,레벨2,수기|로부장 (sex 대체 2026-08-01 대표님 지시)
