no,en,pos,CEFR,NGSL순위,분류,출처태그,kr,수능태그,중국어,일본어
362,competition,noun,A2,874,내용어,[CEFR-J A2][NGSL 874],,,,
363,theory,noun,B1,875,내용어,[CEFR-J B1][NGSL 875],,,,
364,propose,verb,B1,876,내용어,[CEFR-J B1][NGSL 876],,,,
365,argument,noun,A2,878,내용어,[CEFR-J A2][NGSL 878],,,,
366,adult,adjective,A2,879,내용어,[CEFR-J A2][NGSL 879],,,,
367,document,noun,B1,881,내용어,[CEFR-J B1][NGSL 881],,,,
368,pattern,noun,B1,882,내용어,[CEFR-J B1][NGSL 882],,,,
369,application,noun,B1,883,내용어,[CEFR-J B1][NGSL 883],,,,
370,obviously,adverb,B1,885,기능어,[CEFR-J B1][NGSL 885],,,,
371,unclear,adjective,B1,886,내용어,[CEFR-J B1][NGSL 886],,,,
372,bill,noun,A2,887,내용어,[CEFR-J A2][NGSL 887],,,,
373,search,noun,A2,888,내용어,[CEFR-J A2][NGSL 888],,,,
374,separate,adjective,A2,889,내용어,[CEFR-J A2][NGSL 889],,,,
375,central,adjective,B1,890,내용어,[CEFR-J B1][NGSL 890],,,,
376,career,noun,B1,891,내용어,[CEFR-J B1][NGSL 891],,,,
377,anyway,adverb,A2,892,기능어,[CEFR-J A2][NGSL 892],,,,
378,throughout,preposition,B1,896,기능어,[CEFR-J B1][NGSL 896],,,,
379,oil,noun,A2,897,내용어,[CEFR-J A2][NGSL 897],,,,
380,protect,verb,B1,902,내용어,[CEFR-J B1][NGSL 902],,,,
381,resource,noun,B1,903,내용어,[CEFR-J B1][NGSL 903],,,,
382,disease,noun,B1,905,내용어,[CEFR-J B1][NGSL 905],,,,
383,balance,noun,B1,906,내용어,[CEFR-J B1][NGSL 906],,,,
384,damage,noun,B1,907,내용어,[CEFR-J B1][NGSL 907],,,,
385,basis,noun,B1,908,내용어,[CEFR-J B1][NGSL 908],,,,
386,author,noun,A2,909,내용어,[CEFR-J A2][NGSL 909],,,,
387,basic,adjective,A2,910,내용어,[CEFR-J A2][NGSL 910],,,,
388,encourage,verb,A2,911,내용어,[CEFR-J A2][NGSL 911],,,,
389,male,noun,A2,913,내용어,[CEFR-J A2][NGSL 913],,,,
390,operate,verb,A2,914,내용어,[CEFR-J A2][NGSL 914],,,,
391,reflect,verb,A2,915,내용어,[CEFR-J A2][NGSL 915],,,,
392,useful,adjective,A2,917,내용어,[CEFR-J A2][NGSL 917],,,,
393,income,noun,B1,919,내용어,[CEFR-J B1][NGSL 919],,,,
394,property,noun,B1,920,내용어,[CEFR-J B1][NGSL 920],,,,
395,previous,adjective,B1,921,내용어,[CEFR-J B1][NGSL 921],,,,
396,earn,verb,A2,925,내용어,[CEFR-J A2][NGSL 925],,,,
397,define,verb,B1,929,내용어,[CEFR-J B1][NGSL 929],,,,
398,conclusion,noun,B1,930,내용어,[CEFR-J B1][NGSL 930],,,,
399,perform,verb,A2,934,내용어,[CEFR-J A2][NGSL 934],,,,
400,professional,adjective,A2,935,내용어,[CEFR-J A2][NGSL 935],,,,
401,debate,noun,A2,937,내용어,[CEFR-J A2][NGSL 937],,,,
402,object,noun,B1,941,내용어,[CEFR-J B1][NGSL 941],,,,
403,maintain,verb,B1,942,내용어,[CEFR-J B1][NGSL 942],,,,
404,credit,noun,A2,943,내용어,[CEFR-J A2][NGSL 943],,,,
405,discover,verb,A2,945,내용어,[CEFR-J A2][NGSL 945],,,,
406,dead,adjective,A2,946,내용어,[CEFR-J A2][NGSL 946],,,,
407,prefer,verb,A2,948,내용어,[CEFR-J A2][NGSL 948],,,,
408,extend,verb,B1,949,내용어,[CEFR-J B1][NGSL 949],,,,
409,possibility,noun,B1,950,내용어,[CEFR-J B1][NGSL 950],,,,
410,direction,noun,A2,951,내용어,[CEFR-J A2][NGSL 951],,,,
411,facility,noun,B1,952,내용어,[CEFR-J B1][NGSL 952],,,,
412,variety,noun,B1,953,내용어,[CEFR-J B1][NGSL 953],,,,
413,daily,adjective,A2,954,내용어,[CEFR-J A2][NGSL 954],,,,
414,screen,noun,A2,956,내용어,[CEFR-J A2][NGSL 956],,,,
415,track,noun,A2,957,내용어,[CEFR-J A2][NGSL 957],,,,
416,completely,adverb,B1,959,기능어,[CEFR-J B1][NGSL 959],,,,
417,female,adjective,A2,960,내용어,[CEFR-J A2][NGSL 960],,,,
418,responsibility,noun,B1,961,내용어,[CEFR-J B1][NGSL 961],,,,
419,original,adjective,A2,962,내용어,[CEFR-J A2][NGSL 962],,,,
420,rock,noun,A2,964,내용어,[CEFR-J A2][NGSL 964],,,,
421,nor,conjunction,B1,966,기능어,[CEFR-J B1][NGSL 966],,,,
422,university,noun,A2,967,내용어,[CEFR-J A2][NGSL 967],,,,
423,easily,adverb,A2,968,기능어,[CEFR-J A2][NGSL 968],,,,
424,agency,noun,A2,969,내용어,[CEFR-J A2][NGSL 969],,,,
425,fix,noun,A2,972,내용어,[CEFR-J A2][NGSL 972],,,,
426,ahead,adverb,A2,973,기능어,[CEFR-J A2][NGSL 973],,,,
427,cross,noun,A2,974,내용어,[CEFR-J A2][NGSL 974],,,,
428,yeah,adverb,A2,975,기능어,[CEFR-J A2][NGSL 975],,,,
429,weight,noun,A2,976,내용어,[CEFR-J A2][NGSL 976],,,,
430,legal,adjective,B1,977,내용어,[CEFR-J B1][NGSL 977],,,,
431,proposal,noun,B1,978,내용어,[CEFR-J B1][NGSL 978],,,,
432,somebody,pronoun,A2,981,기능어,[CEFR-J A2][NGSL 981],,,,
433,pound,noun,B1,982,내용어,[CEFR-J B1][NGSL 982],,,,
434,shape,noun,A2,984,내용어,[CEFR-J A2][NGSL 984],,,,
435,immediately,adverb,B1,986,기능어,[CEFR-J B1][NGSL 986],,,,
436,communication,noun,A2,989,내용어,[CEFR-J A2][NGSL 989],,,,
437,agent,noun,A2,990,내용어,[CEFR-J A2][NGSL 990],,,,
438,traditional,adjective,A2,991,내용어,[CEFR-J A2][NGSL 991],,,,
439,replace,verb,A2,992,내용어,[CEFR-J A2][NGSL 992],,,,
440,herself,pronoun,A2,994,기능어,[CEFR-J A2][NGSL 994],,,,
441,suddenly,adverb,B1,995,기능어,[CEFR-J B1][NGSL 995],,,,
442,generation,noun,A2,996,내용어,[CEFR-J A2][NGSL 996],,,,
443,estimate,verb,B1,997,내용어,[CEFR-J B1][NGSL 997],,,,
444,difficulty,noun,A2,999,내용어,[CEFR-J A2][NGSL 999],,,,
445,shoot,verb,A2,1001,내용어,[CEFR-J A2][NGSL 1001],,,,
446,announce,verb,B1,1002,내용어,[CEFR-J B1][NGSL 1002],,,,
447,unless,conjunction,B1,1003,기능어,[CEFR-J B1][NGSL 1003],,,,
448,independent,adjective,B1,1004,내용어,[CEFR-J B1][NGSL 1004],,,,
449,recommend,verb,B1,1005,내용어,[CEFR-J B1][NGSL 1005],,,,
450,majority,noun,B1,1007,내용어,[CEFR-J B1][NGSL 1007],,,,
451,stick,verb,B1,1008,내용어,[CEFR-J B1][NGSL 1008],,,,
452,request,noun,A2,1009,내용어,[CEFR-J A2][NGSL 1009],,,,
453,none,pronoun,B1,1012,기능어,[CEFR-J B1][NGSL 1012],,,,
454,exchange,noun,A2,1013,내용어,[CEFR-J A2][NGSL 1013],,,,
455,budget,noun,A2,1014,내용어,[CEFR-J A2][NGSL 1014],,,,
456,blood,noun,A2,1016,내용어,[CEFR-J A2][NGSL 1016],,,,
457,appropriate,adjective,A2,1017,내용어,[CEFR-J A2][NGSL 1017],,,,
458,count,verb,A2,1020,내용어,[CEFR-J A2][NGSL 1020],,,,
459,scene,noun,A2,1021,내용어,[CEFR-J A2][NGSL 1021],,,,
460,content,noun,B1,1023,내용어,[CEFR-J B1][NGSL 1023],,,,
461,prevent,verb,A2,1024,내용어,[CEFR-J A2][NGSL 1024],,,,
462,safe,adjective,A2,1025,내용어,[CEFR-J A2][NGSL 1025],,,,
463,invite,verb,A2,1026,내용어,[CEFR-J A2][NGSL 1026],,,,
464,mix,verb,A2,1027,내용어,[CEFR-J A2][NGSL 1027],,,,
465,element,noun,B1,1028,내용어,[CEFR-J B1][NGSL 1028],,,,
466,effective,adjective,B1,1029,내용어,[CEFR-J B1][NGSL 1029],,,,
467,medical,adjective,A2,1031,내용어,[CEFR-J A2][NGSL 1031],,,,
468,admit,verb,A2,1032,내용어,[CEFR-J A2][NGSL 1032],,,,
469,beat,verb,B1,1033,내용어,[CEFR-J B1][NGSL 1033],,,,
470,committee,noun,A2,1036,내용어,[CEFR-J A2][NGSL 1036],,,,
471,aware,adjective,B1,1037,내용어,[CEFR-J B1][NGSL 1037],,,,
472,advice,noun,A2,1038,내용어,[CEFR-J A2][NGSL 1038],,,,
473,handle,noun,A2,1039,내용어,[CEFR-J A2][NGSL 1039],,,,
474,stress,noun,B1,1042,내용어,[CEFR-J B1][NGSL 1042],,,,
475,administration,noun,B1,1044,내용어,[CEFR-J B1][NGSL 1044],,,,
476,complex,adjective,B1,1045,내용어,[CEFR-J B1][NGSL 1045],,,,
477,text,noun,A2,1046,내용어,[CEFR-J A2][NGSL 1046],,,,
478,context,noun,A2,1047,내용어,[CEFR-J A2][NGSL 1047],,,,
479,directly,adverb,B1,1049,기능어,[CEFR-J B1][NGSL 1049],,,,
480,remove,verb,B1,1051,내용어,[CEFR-J B1][NGSL 1051],,,,
481,conduct,noun,B1,1052,내용어,[CEFR-J B1][NGSL 1052],,,,
482,equipment,noun,B1,1053,내용어,[CEFR-J B1][NGSL 1053],,,,
483,otherwise,adverb,B1,1054,기능어,[CEFR-J B1][NGSL 1054],,,,
484,title,noun,A2,1055,내용어,[CEFR-J A2][NGSL 1055],,,,
485,extra,adjective,A2,1056,내용어,[CEFR-J A2][NGSL 1056],,,,
486,sample,noun,A2,1060,내용어,[CEFR-J A2][NGSL 1060],,,,
487,sex,noun,B1,1061,내용어,[CEFR-J B1][NGSL 1061],,,,
488,deliver,verb,B1,1062,내용어,[CEFR-J B1][NGSL 1062],,,,
489,inform,verb,B1,1068,내용어,[CEFR-J B1][NGSL 1068],,,,
490,principle,noun,B1,1069,내용어,[CEFR-J B1][NGSL 1069],,,,
491,appeal,noun,B1,1071,내용어,[CEFR-J B1][NGSL 1071],,,,
492,highly,adverb,B1,1072,기능어,[CEFR-J B1][NGSL 1072],,,,
493,trust,verb,A2,1073,내용어,[CEFR-J A2][NGSL 1073],,,,
494,absolutely,adverb,B1,1076,기능어,[CEFR-J B1][NGSL 1076],,,,
495,flow,noun,B1,1077,내용어,[CEFR-J B1][NGSL 1077],,,,
496,additional,adjective,A2,1079,내용어,[CEFR-J A2][NGSL 1079],,,,
497,responsible,adjective,B1,1080,내용어,[CEFR-J B1][NGSL 1080],,,,
498,hang,verb,B1,1083,내용어,[CEFR-J B1][NGSL 1083],,,,
499,negative,adjective,A2,1084,내용어,[CEFR-J A2][NGSL 1084],,,,
500,relative,adjective,B1,1086,내용어,[CEFR-J B1][NGSL 1086],,,,
501,tour,noun,A2,1087,내용어,[CEFR-J A2][NGSL 1087],,,,
502,alternative,adjective,B1,1088,내용어,[CEFR-J B1][NGSL 1088],,,,
503,software,noun,A2,1089,내용어,[CEFR-J A2][NGSL 1089],,,,
504,attitude,noun,A2,1092,내용어,[CEFR-J A2][NGSL 1092],,,,
505,cheap,adjective,A2,1093,내용어,[CEFR-J A2][NGSL 1093],,,,
506,double,adjective,A2,1094,내용어,[CEFR-J A2][NGSL 1094],,,,
507,observe,verb,B1,1096,내용어,[CEFR-J B1][NGSL 1096],,,,
508,print,verb,A2,1098,내용어,[CEFR-J A2][NGSL 1098],,,,
509,progress,noun,B1,1099,내용어,[CEFR-J B1][NGSL 1099],,,,
510,truth,noun,A2,1100,내용어,[CEFR-J A2][NGSL 1100],,,,
511,nobody,pronoun,A2,1101,기능어,[CEFR-J A2][NGSL 1101],,,,
512,examine,verb,B1,1102,내용어,[CEFR-J B1][NGSL 1102],,,,
513,lay,verb,B1,1103,내용어,[CEFR-J B1][NGSL 1103],,,,
514,speed,noun,A2,1104,내용어,[CEFR-J A2][NGSL 1104],,,,
515,politics,noun,B1,1105,내용어,[CEFR-J B1][NGSL 1105],,,,
516,reply,noun,A2,1106,내용어,[CEFR-J A2][NGSL 1106],,,,
517,display,noun,A2,1107,내용어,[CEFR-J A2][NGSL 1107],,,,
518,transfer,verb,B1,1108,내용어,[CEFR-J B1][NGSL 1108],,,,
519,perfect,adjective,A2,1109,내용어,[CEFR-J A2][NGSL 1109],,,,
520,slightly,adverb,B1,1110,기능어,[CEFR-J B1][NGSL 1110],,,,
521,intend,verb,B1,1112,내용어,[CEFR-J B1][NGSL 1112],,,,
522,respond,verb,B1,1114,내용어,[CEFR-J B1][NGSL 1114],,,,
523,regular,adjective,A2,1117,내용어,[CEFR-J A2][NGSL 1117],,,,
524,physical,adjective,A2,1118,내용어,[CEFR-J A2][NGSL 1118],,,,
525,apart,adverb,A2,1119,기능어,[CEFR-J A2][NGSL 1119],,,,
526,suit,noun,A2,1120,내용어,[CEFR-J A2][NGSL 1120],,,,
527,reveal,verb,A2,1122,내용어,[CEFR-J A2][NGSL 1122],,,,
528,status,noun,B1,1125,내용어,[CEFR-J B1][NGSL 1125],,,,
529,crime,noun,A2,1126,내용어,[CEFR-J A2][NGSL 1126],,,,
530,decline,noun,B1,1127,내용어,[CEFR-J B1][NGSL 1127],,,,
531,launch,verb,B1,1129,내용어,[CEFR-J B1][NGSL 1129],,,,
532,warn,verb,B1,1130,내용어,[CEFR-J B1][NGSL 1130],,,,
533,consumer,noun,B1,1131,내용어,[CEFR-J B1][NGSL 1131],,,,
534,eventually,adverb,B1,1138,기능어,[CEFR-J B1][NGSL 1138],,,,
535,heat,noun,A2,1139,내용어,[CEFR-J A2][NGSL 1139],,,,
536,importance,noun,A2,1142,내용어,[CEFR-J A2][NGSL 1142],,,,
537,distance,noun,B1,1143,내용어,[CEFR-J B1][NGSL 1143],,,,
538,guide,noun,B1,1144,내용어,[CEFR-J B1][NGSL 1144],,,,
539,grant,noun,B1,1145,내용어,[CEFR-J B1][NGSL 1145],,,,
540,pain,noun,B1,1148,내용어,[CEFR-J B1][NGSL 1148],,,,
541,mistake,noun,A2,1150,내용어,[CEFR-J A2][NGSL 1150],,,,
542,ensure,verb,B1,1151,내용어,[CEFR-J B1][NGSL 1151],,,,
543,satisfy,verb,A2,1152,내용어,[CEFR-J A2][NGSL 1152],,,,
544,chief,adjective,B1,1153,내용어,[CEFR-J B1][NGSL 1153],,,,
545,expert,noun,A2,1155,내용어,[CEFR-J A2][NGSL 1155],,,,
546,wave,noun,A2,1156,내용어,[CEFR-J A2][NGSL 1156],,,,
547,south,adjective,A2,1157,내용어,[CEFR-J A2][NGSL 1157],,,,
548,surface,noun,B1,1159,내용어,[CEFR-J B1][NGSL 1159],,,,
549,edge,noun,B1,1162,내용어,[CEFR-J B1][NGSL 1162],,,,
550,audience,noun,A2,1164,내용어,[CEFR-J A2][NGSL 1164],,,,
551,lift,noun,B1,1165,내용어,[CEFR-J B1][NGSL 1165],,,,
552,email,verb,A2,1167,내용어,[CEFR-J A2][NGSL 1167],,,,
553,global,adjective,B1,1168,내용어,[CEFR-J B1][NGSL 1168],,,,
554,struggle,noun,B1,1169,내용어,[CEFR-J B1][NGSL 1169],,,,
555,advertise,verb,B1,1170,내용어,[CEFR-J B1][NGSL 1170],,,,
556,select,adjective,B1,1171,내용어,[CEFR-J B1][NGSL 1171],,,,
557,surround,verb,B1,1172,내용어,[CEFR-J B1][NGSL 1172],,,,
558,extent,noun,B1,1173,내용어,[CEFR-J B1][NGSL 1173],,,,
559,annual,adjective,B1,1175,내용어,[CEFR-J B1][NGSL 1175],,,,
560,fully,adverb,A2,1176,기능어,[CEFR-J A2][NGSL 1176],,,,
561,contrast,noun,A2,1177,내용어,[CEFR-J A2][NGSL 1177],,,,
562,roll,noun,A2,1178,내용어,[CEFR-J A2][NGSL 1178],,,,
563,reality,noun,B1,1179,내용어,[CEFR-J B1][NGSL 1179],,,,
564,photograph,noun,A2,1180,내용어,[CEFR-J A2][NGSL 1180],,,,
565,artist,noun,B1,1181,내용어,[CEFR-J B1][NGSL 1181],,,,
566,conflict,noun,B1,1182,내용어,[CEFR-J B1][NGSL 1182],,,,
567,entire,adjective,B1,1183,내용어,[CEFR-J B1][NGSL 1183],,,,
568,presence,noun,B1,1184,내용어,[CEFR-J B1][NGSL 1184],,,,
569,crowd,noun,A2,1185,내용어,[CEFR-J A2][NGSL 1185],,,,
570,gas,noun,A2,1187,내용어,[CEFR-J A2][NGSL 1187],,,,
571,shift,verb,B1,1188,내용어,[CEFR-J B1][NGSL 1188],,,,
572,net,adjective,A2,1189,내용어,[CEFR-J A2][NGSL 1189],,,,
573,category,noun,B1,1190,내용어,[CEFR-J B1][NGSL 1190],,,,
574,secretary,noun,A2,1191,내용어,[CEFR-J A2][NGSL 1191],,,,
575,quick,adjective,A2,1193,내용어,[CEFR-J A2][NGSL 1193],,,,
576,spread,noun,A2,1195,내용어,[CEFR-J A2][NGSL 1195],,,,
577,nuclear,adjective,B1,1196,내용어,[CEFR-J B1][NGSL 1196],,,,
578,scale,noun,A2,1197,내용어,[CEFR-J A2][NGSL 1197],,,,
579,introduction,noun,B1,1201,내용어,[CEFR-J B1][NGSL 1201],,,,
580,requirement,noun,B1,1202,내용어,[CEFR-J B1][NGSL 1202],,,,
581,north,adjective,A2,1203,내용어,[CEFR-J A2][NGSL 1203],,,,
582,confirm,verb,B1,1204,내용어,[CEFR-J B1][NGSL 1204],,,,
583,senior,adjective,A2,1205,내용어,[CEFR-J A2][NGSL 1205],,,,
584,refuse,noun,B1,1207,내용어,[CEFR-J B1][NGSL 1207],,,,
585,transport,noun,B1,1208,내용어,[CEFR-J B1][NGSL 1208],,,,
586,emerge,verb,B1,1209,내용어,[CEFR-J B1][NGSL 1209],,,,
587,concept,noun,B1,1211,내용어,[CEFR-J B1][NGSL 1211],,,,
588,survive,verb,A2,1216,내용어,[CEFR-J A2][NGSL 1216],,,,
589,flight,noun,A2,1217,내용어,[CEFR-J A2][NGSL 1217],,,,
590,background,noun,A2,1221,내용어,[CEFR-J A2][NGSL 1221],,,,
591,technique,noun,B1,1222,내용어,[CEFR-J B1][NGSL 1222],,,,
592,traffic,noun,A2,1223,내용어,[CEFR-J A2][NGSL 1223],,,,
593,improvement,noun,B1,1224,내용어,[CEFR-J B1][NGSL 1224],,,,
594,consequence,noun,A2,1226,내용어,[CEFR-J A2][NGSL 1226],,,,
595,mass,adjective,B1,1234,내용어,[CEFR-J B1][NGSL 1234],,,,
596,contribute,verb,B1,1236,내용어,[CEFR-J B1][NGSL 1236],,,,
597,failure,noun,B1,1237,내용어,[CEFR-J B1][NGSL 1237],,,,
598,schedule,noun,A2,1238,내용어,[CEFR-J A2][NGSL 1238],,,,
599,speaker,noun,A2,1239,내용어,[CEFR-J A2][NGSL 1239],,,,
600,adopt,verb,B1,1241,내용어,[CEFR-J B1][NGSL 1241],,,,
601,combine,verb,B1,1242,내용어,[CEFR-J B1][NGSL 1242],,,,
602,waste,adjective,B1,1244,내용어,[CEFR-J B1][NGSL 1244],,,,
603,marriage,noun,B1,1246,내용어,[CEFR-J B1][NGSL 1246],,,,
604,equal,adjective,B1,1252,내용어,[CEFR-J B1][NGSL 1252],,,,
605,expression,noun,A2,1253,내용어,[CEFR-J A2][NGSL 1253],,,,
606,plus,preposition,A2,1254,기능어,[CEFR-J A2][NGSL 1254],,,,
607,extremely,adverb,A2,1255,기능어,[CEFR-J A2][NGSL 1255],,,,
608,commercial,adjective,B1,1258,내용어,[CEFR-J B1][NGSL 1258],,,,
609,duty,noun,B1,1260,내용어,[CEFR-J B1][NGSL 1260],,,,
610,strength,noun,A2,1261,내용어,[CEFR-J A2][NGSL 1261],,,,
611,connect,verb,B1,1262,내용어,[CEFR-J B1][NGSL 1262],,,,
612,cultural,adjective,B1,1263,내용어,[CEFR-J B1][NGSL 1263],,,,
613,arrange,verb,B1,1264,내용어,[CEFR-J B1][NGSL 1264],,,,
614,unfortunately,adverb,A2,1267,기능어,[CEFR-J A2][NGSL 1267],,,,
615,brief,adjective,B1,1268,내용어,[CEFR-J B1][NGSL 1268],,,,
616,demonstrate,verb,B1,1270,내용어,[CEFR-J B1][NGSL 1270],,,,
617,contribution,noun,B1,1271,내용어,[CEFR-J B1][NGSL 1271],,,,
618,appreciate,verb,A2,1272,내용어,[CEFR-J A2][NGSL 1272],,,,
619,chapter,noun,A2,1273,내용어,[CEFR-J A2][NGSL 1273],,,,
620,secret,noun,A2,1274,내용어,[CEFR-J A2][NGSL 1274],,,,
621,apparently,adverb,A2,1275,기능어,[CEFR-J A2][NGSL 1275],,,,
622,novel,noun,A2,1276,내용어,[CEFR-J A2][NGSL 1276],,,,
623,union,noun,B1,1277,내용어,[CEFR-J B1][NGSL 1277],,,,
624,burn,noun,A2,1278,내용어,[CEFR-J A2][NGSL 1278],,,,
625,trend,noun,B1,1279,내용어,[CEFR-J B1][NGSL 1279],,,,
626,initial,noun,B1,1280,내용어,[CEFR-J B1][NGSL 1280],,,,
627,critical,adjective,B1,1283,내용어,[CEFR-J B1][NGSL 1283],,,,
628,gather,verb,A2,1284,내용어,[CEFR-J A2][NGSL 1284],,,,
629,mostly,adverb,A2,1285,기능어,[CEFR-J A2][NGSL 1285],,,,
630,earth,noun,A2,1286,내용어,[CEFR-J A2][NGSL 1286],,,,
631,essential,adjective,B1,1288,내용어,[CEFR-J B1][NGSL 1288],,,,
632,desire,noun,B1,1289,내용어,[CEFR-J B1][NGSL 1289],,,,
633,promote,verb,B1,1290,내용어,[CEFR-J B1][NGSL 1290],,,,
634,currently,adverb,B1,1291,기능어,[CEFR-J B1][NGSL 1291],,,,
635,path,noun,A2,1293,내용어,[CEFR-J A2][NGSL 1293],,,,
636,attract,verb,B1,1296,내용어,[CEFR-J B1][NGSL 1296],,,,
637,engage,verb,B1,1297,내용어,[CEFR-J B1][NGSL 1297],,,,
638,powerful,adjective,A2,1298,내용어,[CEFR-J A2][NGSL 1298],,,,
639,crisis,noun,B1,1300,내용어,[CEFR-J B1][NGSL 1300],,,,
640,settle,verb,B1,1301,내용어,[CEFR-J B1][NGSL 1301],,,,
641,aid,noun,B1,1303,내용어,[CEFR-J B1][NGSL 1303],,,,
642,twice,adverb,A2,1306,기능어,[CEFR-J A2][NGSL 1306],,,,
643,fresh,adjective,A2,1307,내용어,[CEFR-J A2][NGSL 1307],,,,
644,delay,noun,A2,1308,내용어,[CEFR-J A2][NGSL 1308],,,,
645,safety,noun,B1,1309,내용어,[CEFR-J B1][NGSL 1309],,,,
646,insurance,noun,B1,1312,내용어,[CEFR-J B1][NGSL 1312],,,,
647,divide,verb,A2,1314,내용어,[CEFR-J A2][NGSL 1314],,,,
648,length,noun,B1,1315,내용어,[CEFR-J B1][NGSL 1315],,,,
649,investigation,noun,B1,1316,내용어,[CEFR-J B1][NGSL 1316],,,,
650,package,noun,B1,1317,내용어,[CEFR-J B1][NGSL 1317],,,,
651,somewhere,adverb,A2,1318,기능어,[CEFR-J A2][NGSL 1318],,,,
652,expand,verb,B1,1319,내용어,[CEFR-J B1][NGSL 1319],,,,
653,commit,verb,B1,1320,내용어,[CEFR-J B1][NGSL 1320],,,,
654,obvious,adjective,B1,1321,내용어,[CEFR-J B1][NGSL 1321],,,,
655,weapon,noun,B1,1323,내용어,[CEFR-J B1][NGSL 1323],,,,
656,relatively,adverb,B1,1324,기능어,[CEFR-J B1][NGSL 1324],,,,
657,host,noun,A2,1325,내용어,[CEFR-J A2][NGSL 1325],,,,
658,district,noun,B1,1327,내용어,[CEFR-J B1][NGSL 1327],,,,
659,broad,adjective,B1,1328,내용어,[CEFR-J B1][NGSL 1328],,,,
660,tire,verb,B1,1329,내용어,[CEFR-J B1][NGSL 1329],,,,
661,spirit,noun,B1,1331,내용어,[CEFR-J B1][NGSL 1331],,,,
662,battle,noun,B1,1335,내용어,[CEFR-J B1][NGSL 1335],,,,
663,tradition,noun,A2,1336,내용어,[CEFR-J A2][NGSL 1336],,,,
664,cash,noun,A2,1337,내용어,[CEFR-J A2][NGSL 1337],,,,
665,hardly,adverb,A2,1338,기능어,[CEFR-J A2][NGSL 1338],,,,
666,award,noun,A2,1339,내용어,[CEFR-J A2][NGSL 1339],,,,
667,experiment,noun,B1,1341,내용어,[CEFR-J B1][NGSL 1341],,,,
668,consideration,noun,B1,1342,내용어,[CEFR-J B1][NGSL 1342],,,,
669,possibly,adverb,A2,1345,기능어,[CEFR-J A2][NGSL 1345],,,,
670,threat,noun,B1,1346,내용어,[CEFR-J B1][NGSL 1346],,,,
671,accident,noun,A2,1347,내용어,[CEFR-J A2][NGSL 1347],,,,
672,impossible,adjective,A2,1348,내용어,[CEFR-J A2][NGSL 1348],,,,
673,enable,verb,B1,1350,내용어,[CEFR-J B1][NGSL 1350],,,,
674,active,adjective,B1,1352,내용어,[CEFR-J B1][NGSL 1352],,,,
675,conclude,verb,B1,1353,내용어,[CEFR-J B1][NGSL 1353],,,,
676,religious,adjective,B1,1354,내용어,[CEFR-J B1][NGSL 1354],,,,
677,cancer,noun,B1,1355,내용어,[CEFR-J B1][NGSL 1355],,,,
678,convince,verb,B1,1356,내용어,[CEFR-J B1][NGSL 1356],,,,
679,vary,verb,B1,1357,내용어,[CEFR-J B1][NGSL 1357],,,,
680,environmental,adjective,B1,1358,내용어,[CEFR-J B1][NGSL 1358],,,,
681,volume,noun,B1,1362,내용어,[CEFR-J B1][NGSL 1362],,,,
682,location,noun,B1,1363,내용어,[CEFR-J B1][NGSL 1363],,,,
683,invest,verb,B1,1364,내용어,[CEFR-J B1][NGSL 1364],,,,
684,proceed,verb,B1,1365,내용어,[CEFR-J B1][NGSL 1365],,,,
685,tape,noun,A2,1369,내용어,[CEFR-J A2][NGSL 1369],,,,
686,opposite,adjective,A2,1371,내용어,[CEFR-J A2][NGSL 1371],,,,
687,murder,noun,A2,1374,내용어,[CEFR-J A2][NGSL 1374],,,,
688,monitor,noun,B1,1375,내용어,[CEFR-J B1][NGSL 1375],,,,
689,soldier,noun,A2,1376,내용어,[CEFR-J A2][NGSL 1376],,,,
690,finance,verb,B1,1377,내용어,[CEFR-J B1][NGSL 1377],,,,
691,hate,verb,A2,1378,내용어,[CEFR-J A2][NGSL 1378],,,,
692,shock,noun,A2,1381,내용어,[CEFR-J A2][NGSL 1381],,,,
693,comfortable,adjective,A2,1382,내용어,[CEFR-J A2][NGSL 1382],,,,
694,usual,adjective,A2,1383,내용어,[CEFR-J A2][NGSL 1383],,,,
695,pack,noun,A2,1385,내용어,[CEFR-J A2][NGSL 1385],,,,
696,recall,verb,B1,1386,내용어,[CEFR-J B1][NGSL 1386],,,,
697,wine,noun,A2,1387,내용어,[CEFR-J A2][NGSL 1387],,,,
698,cycle,noun,B1,1392,내용어,[CEFR-J B1][NGSL 1392],,,,
699,totally,adverb,B1,1394,기능어,[CEFR-J B1][NGSL 1394],,,,
700,museum,noun,A2,1395,내용어,[CEFR-J A2][NGSL 1395],,,,
701,visitor,noun,A2,1396,내용어,[CEFR-J A2][NGSL 1396],,,,
702,freedom,noun,A2,1397,내용어,[CEFR-J A2][NGSL 1397],,,,
703,construction,noun,B1,1398,내용어,[CEFR-J B1][NGSL 1398],,,,
704,objective,noun,B1,1400,내용어,[CEFR-J B1][NGSL 1400],,,,
705,moreover,adverb,B1,1401,기능어,[CEFR-J B1][NGSL 1401],,,,
706,historical,adjective,B1,1403,내용어,[CEFR-J B1][NGSL 1403],,,,
707,oppose,verb,A2,1404,내용어,[CEFR-J A2][NGSL 1404],,,,
708,branch,noun,A2,1405,내용어,[CEFR-J A2][NGSL 1405],,,,
709,vehicle,noun,B1,1406,내용어,[CEFR-J B1][NGSL 1406],,,,
