no,en,pos,CEFR,NGSL순위,분류,출처태그,kr,수능태그,중국어,일본어
84,develop,verb,A2,350,내용어,[CEFR-J A2][NGSL 350],,,,
85,bit,noun,A2,352,내용어,[CEFR-J A2][NGSL 352],,,,
86,figure,noun,A2,357,내용어,[CEFR-J A2][NGSL 357],,,,
87,decide,verb,A2,359,내용어,[CEFR-J A2][NGSL 359],,,,
88,development,noun,B1,363,내용어,[CEFR-J B1][NGSL 363],,,,
89,clear,adjective,A2,369,내용어,[CEFR-J A2][NGSL 369],,,,
90,per,preposition,B1,373,기능어,[CEFR-J B1][NGSL 373],,,,
91,remain,verb,A2,374,내용어,[CEFR-J A2][NGSL 374],,,,
92,among,preposition,A2,376,기능어,[CEFR-J A2][NGSL 376],,,,
93,involve,verb,B1,379,내용어,[CEFR-J B1][NGSL 379],,,,
94,reach,verb,A2,380,내용어,[CEFR-J A2][NGSL 380],,,,
95,across,adverb,A2,383,기능어,[CEFR-J A2][NGSL 383],,,,
96,create,verb,A2,386,내용어,[CEFR-J A2][NGSL 386],,,,
97,sound,noun,A2,390,내용어,[CEFR-J A2][NGSL 390],,,,
98,political,adjective,A2,394,내용어,[CEFR-J A2][NGSL 394],,,,
99,receive,verb,A2,396,내용어,[CEFR-J A2][NGSL 396],,,,
100,policy,noun,B1,399,내용어,[CEFR-J B1][NGSL 399],,,,
101,further,adjective,A2,400,내용어,[CEFR-J A2][NGSL 400],,,,
102,require,verb,B1,402,내용어,[CEFR-J B1][NGSL 402],,,,
103,general,adjective,B1,404,내용어,[CEFR-J B1][NGSL 404],,,,
104,appear,verb,A2,405,내용어,[CEFR-J A2][NGSL 405],,,,
105,individual,adjective,B1,409,내용어,[CEFR-J B1][NGSL 409],,,,
106,sense,noun,A2,412,내용어,[CEFR-J A2][NGSL 412],,,,
107,perhaps,adverb,A2,413,기능어,[CEFR-J A2][NGSL 413],,,,
108,pass,noun,A2,416,내용어,[CEFR-J A2][NGSL 416],,,,
109,produce,verb,A2,417,내용어,[CEFR-J A2][NGSL 417],,,,
110,law,noun,A2,421,내용어,[CEFR-J A2][NGSL 421],,,,
111,research,noun,A2,423,내용어,[CEFR-J A2][NGSL 423],,,,
112,position,noun,A2,426,내용어,[CEFR-J A2][NGSL 426],,,,
113,human,adjective,A2,428,내용어,[CEFR-J A2][NGSL 428],,,,
114,situation,noun,A2,430,내용어,[CEFR-J A2][NGSL 430],,,,
115,staff,noun,A2,431,내용어,[CEFR-J A2][NGSL 431],,,,
116,film,noun,A2,433,내용어,[CEFR-J A2][NGSL 433],,,,
117,account,noun,A2,436,내용어,[CEFR-J A2][NGSL 436],,,,
118,major,adjective,A2,438,내용어,[CEFR-J A2][NGSL 438],,,,
119,sometimes,adverb,B1,444,기능어,[CEFR-J B1][NGSL 444],,,,
120,condition,noun,A2,445,내용어,[CEFR-J A2][NGSL 445],,,,
121,decision,noun,B1,449,내용어,[CEFR-J B1][NGSL 449],,,,
122,certain,adjective,A2,451,내용어,[CEFR-J A2][NGSL 451],,,,
123,forward,adverb,A2,452,기능어,[CEFR-J A2][NGSL 452],,,,
124,main,adjective,B1,453,내용어,[CEFR-J B1][NGSL 453],,,,
125,die,verb,A2,454,내용어,[CEFR-J A2][NGSL 454],,,,
126,himself,pronoun,A2,458,기능어,[CEFR-J A2][NGSL 458],,,,
127,available,adjective,B1,459,내용어,[CEFR-J B1][NGSL 459],,,,
128,especially,adverb,A2,460,기능어,[CEFR-J A2][NGSL 460],,,,
129,rise,noun,B1,462,내용어,[CEFR-J B1][NGSL 462],,,,
130,detail,noun,A2,472,내용어,[CEFR-J A2][NGSL 472],,,,
131,themselves,pronoun,A2,480,기능어,[CEFR-J A2][NGSL 480],,,,
132,model,noun,A2,485,내용어,[CEFR-J A2][NGSL 485],,,,
133,raise,verb,A2,486,내용어,[CEFR-J A2][NGSL 486],,,,
134,customer,noun,A2,487,내용어,[CEFR-J A2][NGSL 487],,,,
135,explain,verb,A2,489,내용어,[CEFR-J A2][NGSL 489],,,,
136,economic,adjective,B1,493,내용어,[CEFR-J B1][NGSL 493],,,,
137,approach,noun,B1,495,내용어,[CEFR-J B1][NGSL 495],,,,
138,land,verb,A2,497,내용어,[CEFR-J A2][NGSL 497],,,,
139,charge,noun,B1,498,내용어,[CEFR-J B1][NGSL 498],,,,
140,finally,adverb,A2,499,기능어,[CEFR-J A2][NGSL 499],,,,
141,claim,verb,A2,501,내용어,[CEFR-J A2][NGSL 501],,,,
142,relationship,noun,B1,502,내용어,[CEFR-J B1][NGSL 502],,,,
143,death,noun,A2,505,내용어,[CEFR-J A2][NGSL 505],,,,
144,amount,noun,B1,507,내용어,[CEFR-J B1][NGSL 507],,,,
145,improve,verb,A2,508,내용어,[CEFR-J A2][NGSL 508],,,,
146,regard,verb,B1,511,내용어,[CEFR-J B1][NGSL 511],,,,
147,couple,noun,A2,514,내용어,[CEFR-J A2][NGSL 514],,,,
